fips,total,compliant,overdue,unknown
24001,51,46,2,3
24003,515,311,168,36
24005,777,584,132,61
24009,121,116,3,2
24011,57,47,5,5
24013,184,143,35,6
24015,90,48,37,5
24017,213,188,11,14
24019,58,51,0,7
24021,354,292,40,22
24023,16,15,0,1
24025,376,174,172,30
24027,387,336,37,14
24029,24,21,3,0
24031,1110,243,731,136
24033,935,416,406,113
24035,61,56,3,2
24037,214,173,32,9
24039,24,23,0,1
24041,48,42,3,3
24043,170,159,4,7
24045,110,99,6,5
24047,30,30,0,0
24510,624,412,158,54
