zipcode,average_assessment
0,323270.33
0,19800
0,760200
0,379932.42
0000,1636500
00000,303785.86
0-006,420100
0-007,381733
0-024,362200
01231,46800
0-162,485800
0-217,440000
0-220,1800
0-350,375200
0-372,867800
04040,227600
0-430,328300
0-433,433167
0-492,373400
0-494,383033
0-560,389000
0-630,175000
0-673,351600
0-683,405500
0-686,533900
07016,164733
0710,2572000
0719,17727433
0-923,201700
0-944,397800
0-972,274033
10787,455167
11238,203900
1133,262150
11355,43600
12061,9500
12110,229600
12144,327100
1222,0
12236,134000
12442,267200
12787,243133
14075,192400
16428,373400
1647,1200
16648,362900
17214,587983.5
17231,447500
17320,9600
17327,1100
17340,390250
17349,4700
1742-,135400
19177,400
19362,1600
19406,100
19711,52405.56
19901,103850
19964,66800
19966,500
19973,177341.67
19975,27150
2000-,3000
20002,500
20003,187300
20005,541400
20007,668600
20011,247200
20015,241700
20019,170100
20031,143800
20103,258700
20108,267433
20130,728100
20142,192671.43
20143,681000
20144,512600
20145,296133
20148,523950
20151,155250
20154,0
20160,0
20166,799633
20169,220000
20171,309200
20174,390600
20184,1184500
20185,1300000
20186,235700
20190,422650
20193,279250
20206,773600
20208,20000
20234,196167
20256,117900
20410,278200
20460,0
20500,240800
20523,559800
20574,355200
20584,2007100
20600,472100
20601,416111.16
20602,421434.78
20603,436229.4
20604,535350
20606,343530.46
20607,381238.02
20608,180855.48
20609,341510.6
20610,380800
20611,310607.08
20612,321841.91
20613,399886.07
20615,380497.84
20616,314346.81
20617,419196.15
20618,268383.02
20619,383220.95
20620,344274.34
20621,262994.13
20622,381261.02
20623,457954.82
20624,345045.89
20625,311208.56
20626,278429.48
20628,237945.69
20629,300800
20630,437362.7
20632,319165.9
20634,309759.81
20635,268515.29
20636,411257.72
20637,426146.99
20639,430183.23
20640,503156.69
20643,247860
20644,46491.75
20645,412735.53
20646,400757.02
20647,52800
20650,443778.57
20653,361727.44
20656,303622.68
20657,296930.92
20658,319335.55
20659,321999.71
20660,287557.5
20661,311978.95
20662,267811.39
20664,348741.27
20666,251800
20667,278372.16
20670,437600
20672,417667
20673,412011.22
20674,349349.64
20675,426643.66
20676,327060.8
20677,395396.38
20678,455225.89
20679,439800
20680,341824.33
20682,341404.57
20684,370050.82
20685,337537.72
20686,532525.26
20687,253933.21
20688,404289.83
20689,429267.84
2069,234800
20690,427717.83
20692,372831.08
20693,417048.31
20695,387507.53
20701,9154150.84
20702,708467
20705,569762.24
20706,505053.31
20707,540943.61
20708,568423.82
20709,448900
20710,492908.08
20711,473482.49
20712,566883.91
20714,349403.23
20715,457644.54
20716,465088.82
20720,494665.93
20721,547681.41
20722,383744.56
20723,609157.68
20724,474177.65
20727,557633
20729,553600
20730,441000
20732,379509.63
20733,344725.96
20734,517952.38
20735,389529.12
20736,486273.03
20737,543895.55
20738,10100
20740,711521.25
20742,48978437.5
20743,358480.41
20744,386879.2
20745,728949.88
20746,510734.37
20747,407321.48
20748,373713.22
20750,355600
20751,420861.79
20754,527384.56
20755,34603158.33
20758,377163.98
20759,983466.59
20760,587009.57
20762,12626752.94
20763,866785.17
20764,347434.93
20765,380226.74
20769,507210.94
20770,485473.22
20771,134353050
20772,417403.48
20773,580300
20774,505906.39
20776,537421.82
20777,818203.01
20778,488058.23
20779,437299.84
20781,547061.45
20782,614406.9
20783,427499.87
20784,382825.23
20785,551673.01
20786,649633
20787,677700
20792,0
20794,886194.4
20795,849833
20801,740133
20804,690000
20805,936500
20806,214583.25
2081,655450
20810,17903716.67
20812,1124551.28
20814,1386265.39
20815,1250793.61
20816,1191976.24
20817,1240309.64
20818,1061527.05
20820,597619
20821,238100
20822,240450
20830,681000
20831,504600
20832,612120.15
20833,674434.19
20834,1303300
20835,237950
20837,549122.93
20838,446967.44
20839,369642.86
20841,578056.83
20842,553095.98
20845,1259200
20847,490100
20849,74481200
2085,355850
20850,1141466.56
20851,571971.32
20852,992975.38
20853,609032.11
20854,1245590.19
20855,755513.25
20856,200
20859,1780700
20860,1022501.78
20861,776275.32
20862,690775.25
20863,1973914.81
20864,3979000
20866,491232.01
20867,634533
20868,654000.94
20871,579754.42
20872,476385.17
20873,839400
20874,525694.61
20875,838290.57
20876,601246.2
20877,783900.59
20878,751648.55
20879,559718.54
20880,488543.64
20882,629545.95
20883,736100
20884,158333
20885,310083.5
20886,340794.96
20887,9479200
20891,834900
20892,167155666.7
20894,0
20895,766881.34
20896,892447.2
20901,568409.64
20902,586926.04
20903,709600.72
20904,735472.01
20905,582254.71
20906,461053.73
20908,629340
20910,993797.01
20912,655071.11
20913,575450
20916,693900
20940,773633
20954,1566200
20960,312400
20965,238000
20966,180000
20967,405600
20974,800
20976,381789
20977,377633
20985,2932650
21001,425475.94
21003,0
21005,266267
21009,328854.63
21010,112700
21012,502779.12
21013,486228.59
21014,440005.62
21015,426456.49
21016,606333
21017,439908.12
21018,277515.38
21020,783550
21021,405779.8
21022,1774826.32
21023,573102.04
21027,244016.6
21028,407595.01
21029,878613.16
21030,642457.5
21031,6360287.5
21032,519373.79
21034,357031.77
21035,654373.27
21036,824587.73
21037,540678.33
21039,1450300
21040,319101.56
21041,870306.6
21042,655382.83
21043,585045.07
21044,668684.18
21045,517736.19
21046,729252.26
21047,481411.21
21048,492547.91
21050,419766.1
21051,472091.67
21052,288808.13
21053,411248.77
21054,640956.47
21055,222075
21056,1924162.55
21057,488631.97
21060,392248.23
21061,429177.98
21062,700
21071,390445.51
21072,131600
21074,393320.83
21075,640425.09
21076,818957.52
21077,712400.37
21078,312519.01
21079,562200
2108,233800
21080,203700
21082,452353.91
21083,421433.38
21084,361967.69
21085,276782.66
21087,439682.68
21090,744495.66
21093,542350.08
21094,319000
21096,381800
21097,396016.5
21098,368700
21101,388050
21102,381016.39
21104,585721.11
21105,313593.33
21106,633922.47
21107,400660
21108,529399.06
21109,358500
2111,803200
21111,528117.7
21112,0
21113,509520.31
21114,459718.46
21115,331460
21116,355583.5
21117,491982.34
21119,176167
21120,468918.15
21121,539773.4
21122,386942.07
21123,0
21125,333816.5
21126,152350
21127,203622.33
21128,416042.61
2113,231500
21130,4872608.19
21131,605492.57
21132,327811.22
21133,298821.79
21136,374740.21
21137,234200
21138,280983.5
21139,322100
21140,537331.72
21144,454386.7
